,code,title
180,AMG5751,Communications industry internship
181,AMU1010,Introduction to public relations
182,AMU1017,Academic literacies
183,AMU1018,Learning in higher education
184,AMU1223,"Film, Television and Screen Studies: Approaches "
185,AMU1224,"Film, Television and Screen Studies: Forms "
186,AMU1277,Media studies
187,AMU1278,Communication technologies and practices
188,AMU1309,Introduction to sexuality studies
189,AMU1310,Introduction to gender studies
190,AMU1312,Introduction to creative writing
191,AMU1314,Writing techniques: Forms and literary devices
192,AMU1325,Introduction to world politics and history
193,AMU1326,Transformation from above: Globalisation and the state
194,AMU1330,Digital media 1
195,AMU1331,Introduction to internet studies
196,AMU2015,Cities and citizens
197,AMU2145,Digital media 2
198,AMU2146,Digital screens
199,AMU2170,Social entrepreneurship challenge in the Indo-Pacific (Malaysia)
200,AMU2315,Strategies in writing experiments
201,AMU2439,Youth and mobile media
202,AMU2448,Film genres
203,AMU2449,Film histories: From 1895 to the present
204,AMU2450,Contemporary media theory
205,AMU2453,Research methods in the social sciences
206,AMU2455,Special topic in social sciences
207,AMU2565,Southeast Asian cinema
208,AMU2625,"Borders, people and identity: Migration in the 21st century"
209,AMU2685,Malaysian studies
210,AMU2690,Discovering the Asia-Pacific study trips
211,AMU2814,Transforming community: Project design and public relations for social campaigns
212,AMU2906,"Genders, sexualities and religions in Southeast Asia"
213,AMU2907,Sexual and reproductive health and rights in global contexts
214,AMU2908,Critical methodologies for action research
215,AMU2920,"Transformation from below: Civil, society, social movements and political change"
216,AMU3019,Change it! Leadership and transformation in a global society
217,AMU3021,Audience Studies: Sources and Methods
218,AMU3029,Digital Asia research project
219,AMU3070,Public Relations: Cases and approaches
220,AMU3127,"Stardom: Celebrity, society and power"
221,AMU3170, Social entrepreneurship challenge in the Indo-Pacific (Malaysia)
222,AMU3440,Democracy and development: A global studies perspective
223,AMU3451,Freedom and control in the media
224,AMU3560,Contemporary feminisms in Asia
225,AMU3565,Southeast Asian cinema
226,AMU3570,International relations
227,AMU3574,"Performing Asian, African and Black masculinities"
228,AMU3575,Task force: Responding to global challenges
229,AMU3580,Digital Society: Engaging with the world
230,AMU3601,Documentary filmmaking and society 
231,AMU3650,A world in crisis: Multilevel responses to global emergencies
232,AMU3744,Workplace learning internship
233,AMU3806,Business reporting
234,AMU3857,Writing techniques
235,AMU3859,Writing portfolio
236,AMU4718,Arts honours dissertation 1
237,AMU4719,Arts honours dissertation 2
238,AMU4720,Research issues and methodology
239,AMU4727,"Readings in social, political and cultural theory"
240,ANT1800,Introduction to anatomy
241,APG4223,Gender and family violence
242,APG4224,"Gender, family violence and criminal justice system responses"
243,APG4248,Field methods in anthropology and international development
244,APG4314,Seeking justice: South Africa and Rwanda
245,APG4354,Research methods in cultural heritage
246,APG4554,Resource evaluation and management
247,APG4618,Researching histories
248,APG4681,Social research practice
249,APG4789,Research methods in music
250,APG5043,Language and multilingual societies
251,APG5044,Professional internship
252,APG5045,Gender and development
253,APG5046,"English grammar, pedagogy and use"
254,APG5049,Theory and practice of interpreting
255,APG5050,Doing media and communications research
256,APG5051,Bioethics in action
257,APG5052,Special topic in digital media and communication
258,APG5064,"Gender, security and conflict"
259,APG5066,Shanghai city lab
260,APG5067,Sustainable cultural development
261,APG5068,Creative cities
262,APG5069,"Australia and Asia in the Asian century: Politics, business, media"
263,APG5073,"Conflict, security and development"
264,APG5075,Using data to understand family violence
265,APG5076,Health and family violence
266,APG5078,Gender-based policy and planning
267,APG5079,Research ethics
268,APG5081,Public health ethics
269,APG5082,Creative entrepreneurship in cultural industries
270,APG5083,"Foundations of development: Discourse, programs and practice"
271,APG5084,Designing research
272,APG5086,"Governing migration: Refugees, borders and development"
273,APG5088,International and comparative criminal justice policy
274,APG5091,International relations in theory and practice
275,APG5092,Human rights in global politics
276,APG5093,International relations field unit: Governing peace and security
277,APG5095,Journalism practice
278,APG5100,Mentorship for development practice and professional development 
279,APG5101,Foundations of public policy
280,APG5102,Governance
281,APG5103,Policy analysis
282,APG5104,Public sector reform
283,APG5105,Foreign policy of emerging powers
